run_idx,concept_id,beta0,beta1,beta2,euler,topo_dimension,persistence_entropy,complexity_score,novelty_semantic,novelty_heuristic,novelty_aesthetic,novelty_embedding,novelty_aggregate,aian_pass,icvp_n_approve,icvp_required,icvp_mean_et,icvp_mean_ap,target_freq_hz,target_wl_nm,torus_p,torus_q,charge_error_pct,mean_b_mt,prime1,w1,prime2,w2,prime3,w3,prime4,w4,prime5,w5,cli_mean,cli_std,cli_min,cli_max,iis_initial,iis_final,bhi,sdr,sdr_confidence,wall_time_s
1,fff481c0,9,1,0,8,2,3.0382,11.45409,1.0,0.4165,0.2377,0.7653,0.6078,1,5,4,0.5944,0.0192,15.0,620.0,9,1,27.21,0.731,MOMENT,1.0,NOW,1.0,LITTLE/FEW,1.0,SMALL,1.0,ABOVE,0.8876,0.0985,0.0368,0.0212,0.147,0.5,0.4631,0.9168,0.0,1.0,11.54
2,ff49a05c,6,2,0,4,2,3.08533,10.46888,1.0,0.5108,0.2776,0.7623,0.6381,1,5,4,0.6098,0.0034,17.857,595.0,6,2,41.07,1.125,MOMENT,1.0,LITTLE/FEW,1.0,SMALL,1.0,NOW,0.9999,FAR,0.8082,0.1401,0.0033,0.1364,0.1504,0.5,0.3597,0.96,0.0,1.0,10.76
3,3fb81ae9,5,3,0,2,2,3.2312,11.39658,0.8485,0.4394,0.2768,0.7758,0.6028,1,5,4,0.5867,0.0152,23.125,583.64,5,3,50.5,1.5109,MOMENT,1.0,LITTLE/FEW,1.0,SMALL,1.0,NOW,0.9999,FAR,0.8157,0.1518,0.0026,0.1467,0.1566,0.5,0.3569,0.9742,0.0,1.0,11.52
4,7bf1eb0c,8,2,1,7,2,3.29148,15.44023,1.0,0.4541,0.249,0.7645,0.6191,1,5,4,0.6095,0.0113,27.222,612.86,8,2,57.34,0.871,MOMENT,1.0,LITTLE/FEW,0.9999,SMALL,0.9999,NOW,0.9998,FAR,0.7413,0.149,0.0049,0.1398,0.1595,0.5,0.3524,0.9759,0.0,1.0,12.34
5,9e71a656,6,3,0,3,2,2.97493,12.50285,1.0,0.4471,0.2839,0.7647,0.6244,1,5,4,0.5887,0.0,23.125,595.0,6,3,50.5,1.5109,MOMENT,1.0,LITTLE/FEW,1.0,SMALL,1.0,NOW,0.9999,FAR,0.8157,0.154,0.0036,0.1467,0.1597,0.5,0.3589,0.9787,0.0,1.0,11.31
6,3dfb087c,6,2,0,4,2,3.32972,10.53136,1.0,0.4093,0.3142,0.7623,0.6201,1,5,4,0.6068,0.0178,17.857,595.0,6,2,41.07,1.125,MOMENT,1.0,LITTLE/FEW,1.0,SMALL,1.0,NOW,0.9999,FAR,0.8082,0.1496,0.0069,0.1416,0.1645,0.5,0.3484,0.973,0.0,1.0,11.37
7,b0dd1c1b,6,4,0,2,2,3.19807,14.50133,1.0,0.4587,0.3043,0.7659,0.6319,1,5,4,0.6156,0.0003,27.222,595.0,6,4,57.34,0.871,MOMENT,1.0,LITTLE/FEW,0.9999,SMALL,0.9999,NOW,0.9998,FAR,0.7413,0.1535,0.0031,0.1488,0.1615,0.5,0.3508,0.9787,0.0,1.0,11.6
8,ba6441f8,4,4,0,0,2,3.08019,12.54591,0.7483,0.5066,0.2704,0.7874,0.608,1,5,4,0.5824,0.0109,27.222,570.0,4,4,57.34,0.871,MOMENT,1.0,LITTLE/FEW,0.9999,SMALL,0.9999,NOW,0.9998,FAR,0.7413,0.1652,0.0039,0.1543,0.1697,0.5,0.3463,0.9783,0.0,1.0,11.62
9,b08b249f,5,3,0,2,2,3.00452,11.5583,0.8485,0.4411,0.3194,0.7758,0.6118,1,5,4,0.5892,0.0487,23.125,583.64,5,3,50.5,1.5109,MOMENT,1.0,LITTLE/FEW,1.0,SMALL,1.0,NOW,0.9999,FAR,0.8157,0.1587,0.0046,0.1524,0.1685,0.5,0.3452,0.9776,0.0,1.0,11.82
10,f17fcf4c,6,3,0,3,2,3.1635,12.46728,1.0,0.5077,0.3698,0.7647,0.6568,1,5,4,0.6062,0.009,23.125,595.0,6,3,50.5,1.5109,MOMENT,1.0,LITTLE/FEW,1.0,SMALL,1.0,NOW,0.9999,FAR,0.8157,0.1632,0.0039,0.1544,0.1707,0.5,0.3435,0.983,0.0,1.0,12.59
